,OOR_ID,Link,Agency,County,Officer,Phone,Email1,Email2,website,address,type,subtype,county,municipality,school_district,filepath
2911,3024.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3024,Bethel Park School District,Allegheny,L. Douglas McCausland,412-833-5000,mccausland.doug@bphawks.org,,http://www.bpsd.org/,"301 Church Road , Bethel Park, PA 15102",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3024_Bethel_Park_School_District.pdf
2912,3025.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3025,Brentwood Borough School District,Allegheny,Dr. Amy M. Burch,412-881-2227,burcha@bb-sd.com,,http://www.bb-sd.com,"3601 Brownsville Road , Pittsburgh, PA 15227",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3025_Brentwood_Borough_School_District.pdf
2913,3027.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3027,Carlynton School District,Allegheny,Joseph C. Dimperio,412-429-2500,joseph.dimperio@carlynton.k12.pa.us,michale.herrmann@carlynton.k12.pa.us,http://www.carlynton.k12.pa.us,"435 Kings Highway , Carnegie, PA 15106",Local,School District,Allegheny,Carnegie,Carlynton School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3027_Carlynton_School_District.pdf
2914,3028.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3028,Chartiers Valley School District,Allegheny,,412-429-2201,mduckstein@cvsd.net,,http://www.cvsd.net,"2030 Swallow Hill Road , Pittsburgh, PA 15220",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3028_Chartiers_Valley_School_District.pdf
2916,3030.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3030,Clairton City School District,Allegheny,Gayle S. Colonna,412-233-7090,colonnag@ccsdbears.org,,http://www.clairton.k12.pa.us,"502 Mitchell Avenue , Clairton, PA 15025",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3030_Clairton_City_School_District.pdf
2917,3031.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3031,Cornell School District,Allegheny,Patrick J. Berdine,412-264-5010,pberdine@cornellsd.org,pberdine@cornellsd.org,http://www.cornellsd.org,"1099 Maple Street , Coraopolis, PA 15108",Local,School District,Allegheny,Coraopolis Borough,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3031_Cornell_School_District.pdf
2918,3032.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3032,Deer Lakes School District,Allegheny,Bradley Snyder,724-265-5300,jemmonds@deerlakes.net,,http://www.deerlakes.net,"19 East Union Road , Cheswick, PA 15024",Local,School District,Allegheny,West Deer Twp,Deer Lakes School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3032_Deer_Lakes_School_District.pdf
2919,3033.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3033,Duquesne City School District,Allegheny,Sue A. Moyer,412-466-5300,moyers@dukesk12.org,,http://www.dukecitysd.org/,"300 Kennedy Avenue , Duquesne, PA 15110",Local,School District,Allegheny,Duquesne City,Duquesne City School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3033_Duquesne_City_School_District.pdf
2920,3034.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3034,East Allegheny School District,Allegheny,,412-824-8012,beislerlaw@aol.com,,http://www.eawildcats.net,"1150 Jacks Run Rd , North Versailles, PA 15137",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3034_East_Allegheny_School_District.pdf
2921,3035.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3035,Elizabeth Forward School District,Allegheny,"Richard Fantauzzi, PCSBA",412-896-2300,openrecords@efsd.net,,http://www.efsd.net,"401 Rock Run Road , Elizabeth, PA 15037",Local,School District,Allegheny,,Elizabeth Forward,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3035_Elizabeth_Forward_School_District.pdf
2923,3037.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3037,Fox Chapel Area School District,Allegheny,David P. McCommons,412-963-9600,david_mccommons@fcasd.edu,,http://www.fcasd.edu,"611 Field Club Road , Pittsburgh, PA 15238",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3037_Fox_Chapel_Area_School_District.pdf
2924,3038.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3038,Gateway School District,Allegheny,Janet Estok,412-373-5701,jestok@gatewayk12.org,,http://www.gatewayk12.org,"9000 Gateway Campus Blvd , Monroeville, PA 15146",Local,School District,Allegheny,Monroeville Boro,Gateway School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3038_Gateway_School_District.pdf
2925,3039.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3039,Hampton Township School District,Allegheny,Jeff Kline,412-492-6302,kline@ht-sd.org,,http://www.ht-sd.org,"4591 School Drive , Allison Park, PA 15101",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3039_Hampton_Township_School_District.pdf
2926,3040.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3040,Highlands School District,Allegheny,"Lori P. Byron, CPA",724-226-2400,lbyron@goldenrams.com,,http://www.goldenrams.com,"1500 Pacific Avenue , Natrona Heights, PA 15065",Local,School District,Allegheny,Harrison Twp,HIGHLANDS S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3040_Highlands_School_District.pdf
2927,3041.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3041,Keystone Oaks School District,Allegheny,Sarah Welch,412-571-6020,welch@kosd.org,,http://www.kosd.org,"1000 Kelton Avenue , Pittsburgh, PA 15216",Local,School District,Allegheny,Dormont Boro,Keystone Oaks School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3041_Keystone_Oaks_School_District.pdf
2929,3043.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3043,McKeesport Area School District,Allegheny,R. Scott Domowicz,412-664-3608,sdomowicz@mckasd.net,,http://www.mckasd.net,"3590 O'Neil Boulevard , Mc Keesport, PA 15132",Local,School District,Allegheny,Mckeesport City,McKeesport Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3043_McKeesport_Area_School_District.pdf
2931,3045.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3045,Montour School District,Allegheny,Tiffani Suriano Doyle,412-490-6500,doylet@montourschools.com,,http://www.montourschools.com,"225 Clever Rd , Mc Kees Rocks, PA 15136",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3045_Montour_School_District.pdf
2932,3046.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3046,Moon Area School District,Allegheny,Jessica Drylie,412-264-9440,jdrylie@moonarea.net,,http://www.moonarea.net,"8353 University Boulevard , Moon Township, PA 15108",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3046_Moon_Area_School_District.pdf
2933,3047.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3047,Mt. Lebanon School District,Allegheny,Kimberly Walters,412-344-2000,kwalters@mtlsd.net,,http://www.mtlsd.org,"7 Horsman Drive , Pittsburgh, PA 15228",Local,School District,Allegheny,Mt Lebanon Twp,Mt Lebanon School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3047_Mt._Lebanon_School_District.pdf
2934,3048.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3048,North Allegheny School District,Allegheny,Ahlam Weidman,412-366-2100,openrecordsofficer@northallegheny.org,AWeidman@northallegheny.org,http://www.northallegheny.org,"200 Hillvue Lane , Pittsburgh, PA 15237",Local,School District,Allegheny,Mccandless Twp,North Allegheny School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3048_North_Allegheny_School_District.pdf
2935,3049.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3049,North Hills School District,Allegheny,Heather Pelat,412-318-1014,pelath@nhsd.net,,http://www.nhsd.net,"135 Sixth Avenue , Pittsburgh, PA 15229",Local,School District,Allegheny,Ross Twp,North Hills School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3049_North_Hills_School_District.pdf
2936,3050.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3050,Northgate School District,Allegheny,Laureen Dowd,412-732-3300,ldowd@northgate.k12.pa.us,,http://www.northgate.k12.pa.us,"591 Union Avenue , Pittsburgh, PA 15202",Local,School District,Allegheny,Avalon / Bellevue,Northgate School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3050_Northgate_School_District.pdf
2939,3054.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3054,Penn Hills School District,Allegheny,Janet Langford,412-793-7000,jlangf@phsd.k12.pa.us,rtk@phsd.k12.pa.us,http://www.phsd.k12.pa.us,"260 Aster Street , Pittsburgh, PA 15235",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3054_Penn_Hills_School_District.pdf
2941,3056.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3056,Pine-Richland School District,Allegheny,Rachel McCarthy,724-625-7773,openrecordsofficer@pinerichland.org,,https://www.pinerichland.org/Domain/56,"702 Warrendale Road , Gibsonia, PA 15044",Local,School District,Allegheny,,PINE-RICHLAND S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3056_Pine-Richland_School_District.pdf
2942,3057.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3057,Pittsburgh School District,Allegheny,"Nicole Wingard Williams, Esquire",412-622-3500,nwilliams@wbklegal.com,,https://www.pghschools.org/Page/713,"445 Ft. Pitt Blvd., Suite 503 , Pittsburgh, PA 15219",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3057_Pittsburgh_School_District.pdf
2943,3058.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3058,Plum Borough School District,Allegheny,Jennifer Macro,412-798-6376,macroj@pbsd.net,,http://www.pbsd.net,"900 Elicker Road , Plum, PA 15239",Local,School District,Allegheny,Plum Borough,Plum Borough S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3058_Plum_Borough_School_District.pdf
2947,3062.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3062,Quaker Valley School District,Allegheny,Angela Conigliaro,412-749-3623,qvopenrecords@qvsd.org,communications@qvsd.org,http://www.qvsd.org,"100 Leetsdale Industrial Drive, Suite B , Leetsdale, PA 15056",Local,School District,Allegheny,Leetsdale Boro,Quaker Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3062_Quaker_Valley_School_District.pdf
2948,3063.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3063,Riverview School District,Allegheny,Tammy Good,412-828-1800,tgood@rsd.k12.pa.us,,http://www.rsd.k12.pa.us,"701 Tenth Street , Oakmont, PA 15139",Local,School District,Allegheny,Oakmont Boro,Riverview School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3063_Riverview_School_District.pdf
2949,3064.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3064,Shaler Area School District,Allegheny,Sherri L. Ludwig,412-492-1200,ludwigs@sasd.k12.pa.us,,http://www.sasd.k12.pa.us,"1800 Mt. Royal Boulevard , Glenshaw, PA 15116",Local,School District,Allegheny,Shaler Twp,Shaler Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3064_Shaler_Area_School_District.pdf
2950,3065.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3065,South Allegheny School District,Allegheny,Sheila R. Lubert,412-675-3070,openrecordsoffice@southallegheny.org,slubert@southallegheny.org,http://www.southallegheny.org/,"2743 Washington Blvd. , McKeesport, PA 15133",Local,School District,Allegheny,Mckeesport City,South Allegheny School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3065_South_Allegheny_School_District.pdf
2951,3066.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3066,South Fayette School District,Allegheny,Cynthia Geisler,724-221-4542,openrecordsofficer@southfayette.org,,http://www.southfayette.org,"3680 Old Oakdale Road , McDonald, PA 15057",Local,School District,Allegheny,,South Fayette School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3066_South_Fayette_School_District.pdf
2952,3067.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3067,South Park School District,Allegheny,Chelsea Campolongo,412-655-3111,chelsea.campolongo@sparksd.org,,http://www.sparksd.org,"2005 Eagle Ridge Road , South Park, PA 15129",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3067_South_Park_School_District.pdf
2955,3070.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3070,Steel Valley School District,Allegheny,Brayn Macuga,412-464-3600,bmacuga@steelvalleysd.org,,http://www.svsd.k12.pa.us,"220 East Oliver Road , Munhall, PA 15120",Local,School District,Allegheny,Munhall Boro,Steel Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3070_Steel_Valley_School_District.pdf
2956,3071.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3071,Sto-Rox School District,Allegheny,Jacky Beck,412-771-3213,jbeck@srsd.k12.pa.us,jbeck@srsd.k12.pa.us,http://www.srsd.k12.pa.us,"298 Ewing Road , McKees Rocks, PA 15136",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3071_Sto-Rox_School_District.pdf
2957,3072.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3072,Upper St. Clair School District,Allegheny,Scott Burchill,412-833-1600,publicrecordsofficer@uscsd.k12.pa.us,,http://www.uscsd.k12.pa.us,"1820 McLaughlin Run Road , Pittsburgh, PA 15241",Local,School District,Allegheny,Upper St Clair Twp,Upper St. Clair School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3072_Upper_St._Clair_School_District.pdf
2959,3074.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3074,West Allegheny School District,Allegheny,Lisa Wilson,724-695-3422,lwilson@westasd.org,,http://www.westasd.org,"110 Bruno Lane , Imperial, PA 15126",Local,School District,Allegheny,Imperial,West Allegheny,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3074_West_Allegheny_School_District.pdf
2960,3075.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3075,West Jefferson Hills School District,Allegheny,Tracy Harris,412-655-8450,openrecordsofficer@wjhsd.net,,http://www.wjhsd.net,"835 Old Clairton Road , Jefferson Hills, PA 15025",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3075_West_Jefferson_Hills_School_District.pdf
2961,3076.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3076,West Mifflin Area School District,Allegheny,Joseph M. Esper,412-466-9131,cmard@wmasd.org,,http://www.wmasd.org,"1020 Lebanon Road, Suite 250 , West Mifflin, PA 15122",Local,School District,Allegheny,West Mifflin Boro,West Mifflin Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3076_West_Mifflin_Area_School_District.pdf
2962,3077.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3077,Wilkinsburg School District,Allegheny,Cindy Bogatay,412-871-2104,bogatayc@wilkinsburgschools.org,,,"718 Wallace Avenue , Wilkinsburg, PA 15221",Local,School District,Allegheny,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3077_Wilkinsburg_School_District.pdf
2963,3078.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3078,Woodland Hills School District,Allegheny,Teresa M Hawthorne,412-731-1300,oro@whsd.net,,http://www.whsd.net,"531 Jones Avenue , North Braddock, PA 15104",Local,School District,Allegheny,North Braddock Boro,Woodland Hills School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3078_Woodland_Hills_School_District.pdf
2964,3079.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3079,Apollo-Ridge School District,Armstrong,Jennie Ivory,724-478-6010,ivoryj@apolloridge.com,,http://www.apolloridge.com,"PO Box 219 , Spring Church, PA 15686",Local,School District,Armstrong,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3079_Apollo-Ridge_School_District.pdf
2965,3080.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3080,Armstrong School District,Armstrong,Jennie Montebill,724-548-6069,jmontbell@asd.k12.pa.us,,http://www.asd.k12.pa.us,"181 Heritage Park Drive, Suite 2 , Kittanning, PA 16201",Local,School District,Armstrong,Kittanning Boro,Armstrong School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3080_Armstrong_School_District.pdf
2966,3081.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3081,Freeport Area School District,Armstrong,Valerie Smith,724-295-5141,valsmith@freeport.k12.pa.us,openrecordsrequests@freeport.k12.pa.us,http://www.freeport.k12.pa.us,"621 South Pike Road , Sarver, PA 16055",Local,School District,Armstrong,Buffalo Twp,Freeport Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3081_Freeport_Area_School_District.pdf
2967,3082.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3082,Leechburg Area School District,Armstrong,Patricia Tarr,724-842-9681,openrecordsofficer@leechburg.k12.pa.us,pcamp@leechburg.k12.pa.us,http://www.leechburg.k12.pa.us,"210 Penn Avenue , Leechburg, PA 15656",Local,School District,Armstrong,Leechburg Borough,Leechburg Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3082_Leechburg_Area_School_District.pdf
2969,3084.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3084,Aliquippa School District,Beaver,Deborah Engelman,724-857-7500,dengelman@quipsd.org,,http://www.quipsd.org,"800 21st Street , Aliquippa, PA 15001",Local,School District,Beaver,Aliquippa City,Aliquippa School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3084_Aliquippa_School_District.pdf
2970,3085.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3085,Ambridge Area School District,Beaver,Barry King,724-266-2833,bking@ambridge.k12.pa.us,rdemase@ambridge.k12.pa.us,http://www.ambridge.k12.pa.us,"901 Duss Avenue , Ambridge, PA 15003",Local,School District,Beaver,Ambridge Boro,Ambridge Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3085_Ambridge_Area_School_District.pdf
2971,3087.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3087,Beaver Area School District,Beaver,Denise Sebek,724-774-0250,sebekd@basd.k12.pa.us,,http://www.basd.k12.pa.us,"1300 Fifth Street , Beaver, PA 15009",Local,School District,Beaver,Beaver Boro,Beaver Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3087_Beaver_Area_School_District.pdf
2973,3089.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3089,Big Beaver Falls Area School District,Beaver,Gary Ceccarelli,724-843-3420,ceccarellig@tigerweb.org,,http://www.tigerweb.org/,"1503 8th Avenue , Beaver Falls, PA 15010",Local,School District,Beaver,Beaver Falls City,Big Beaver Falls Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3089_Big_Beaver_Falls_Area_School_District.pdf
2974,3090.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3090,Blackhawk School District,Beaver,"Jordan Shuber, Esquire",412-391-9890,jshuber@dmkcg.com,,http://www.bsd.k12.pa.us,"500 Blackhawk Rd , Beaver Falls, PA 15010",Local,School District,Beaver,Beaver Falls City,Blackhawk School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3090_Blackhawk_School_District.pdf
2975,3092.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3092,Freedom Area School District,Beaver,Erin Bluedon,724-775-5464,ebluedom@freedomarea.org,,http://www.freedomareaschools.org,"1702 School Street , Freedom, PA 15042",Local,School District,Beaver,Freedom Boro,Freedom Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3092_Freedom_Area_School_District.pdf
2976,3093.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3093,Hopewell Area School District,Beaver,Nancy M. Barber,724-375-6691,barbern@hopewellarea.org,,http://www.hopewellarea.org,"2354 Brodhead Road , Aliquippa, PA 15001",Local,School District,Beaver,Aliquippa,Hopewell Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3093_Hopewell_Area_School_District.pdf
