OOR_ID,Link,Agency,County,Officer,Phone,Email1,Email2,website,address,type,subtype,county,municipality,school_district
11.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=11,Cumberland Township,Adams,"Ben Thomas, Jr.",717-334-6485,bthomas@cumberlandtownship.com,,http://www.cumberlandtownship.com,"1370 Fairfield Road , Gettysburg, PA 17325",Local,Township,Adams,Cumberland Twp,GETTYSBURG AREA S D
12.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=12,East Berlin Borough,Adams,Darlene McArthur,717-259-9224,eastberlinboro@comcast.net,,http://eastberlinboro.com,"128 Water Street , East Berlin, PA 17316",Local,Borough,Adams,East Berlin Boro,BERMUDIAN SPRINGS S D
13.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=13,Fairfield Borough,Adams,Susan Wagle,717-642-5640,borofairfieldpa@comcast.net,,http://fairfieldboro.com,"108 West Main Street , PO Box 263 , Fairfield, PA 17320",Local,Borough,Adams,Fairfield Boro,FAIRFIELD AREA S D
14.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=14,Franklin Township,Adams,Susan Plank,717-334-4901,info@franklintwp.us,,http://www.franklintwp.us,"P.O. Box 309 , Cashtown, PA 17310",Local,Township,Adams,Franklin Twp,GETTYSBURG AREA S D
15.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=15,Freedom Township,Adams,Zachary R Gulden,717-873-0475,zgulden@freedomtwp.org,,http://www.freedomtownship.us,"2184 Pumping Station Road , Fairfield, PA 17320",Local,Township,Adams,Freedom Twp,GETTYSBURG AREA S D
16.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=16,Germany Township,Adams,Melissa Zirkle,717-359-7537,secretary@germanytownship.org,,http://www.germanytownship.org,"136 Ulricktown Road , Littlestown, PA 17340",Local,Township,Adams,Germany Twp,Littlestown Area School District
17.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=17,Gettysburg Borough,Adams,Sara Stull,717-334-1160,sstull@gettysburgpa.gov,,http://www.gettysburgpa.gov,"59 East High Street , Gettysburg, PA 17325",Local,Borough,Adams,Gettysburg Boro,GETTYSBURG AREA S D
18.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=18,Hamilton Township,Adams,Stephanie A. Egger,717-259-7237,saehamilton@twphamilton.com,,http://twphamilton.com,"272 Mummert Church Road , Abbottstown, PA 17301",Local,Township,Adams,Hamilton Twp,Conewago Valley and Bermudian Springs
19.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=19,Hamiltonban Township,Adams,Nina Garretson,717-642-8509,hamiltonban@embarqmail.com,,http://www.hamiltonban.com,"23 Carrolls Tract Road , PO Box 526 , Fairfield, PA 17320",Local,Township,Adams,Hamiltonban Twp,FAIRFIELD AREA S D
20.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=20,Highland Township,Adams,Mary Sherman,717-642-8410,highlandtownship@comcast.net,,,"3641 Fairfield Road , Gettysburg, PA 17325",Local,Township,Adams,Highland Twp,GETTYSBURG AREA S D
21.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=21,Huntington Township,Adams,Patricia V. Davis,717-528-4027,huntington@pa.net,,,"P.O. Box 247 , 750 Trolley Rd. , York Springs, PA 17372",Local,Township,Adams,Huntington Twp,BERMUDIAN SPRINGS S D
22.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=22,Latimore Township,Adams,Jennie Gordon,717-528-4614,latimore@latimore.org,,http://www.latimore.org,"559 Old US Route 15 , York Springs, PA 17015",Local,Township,Adams,Latimore Twp,BERMUDIAN SPRINGS S D
23.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=23,Liberty Township,Adams,Walter Barlow,717-642-3780,WalterBarlow.liberty@Comcast.net,,https://www.adamscounty.us/Munic/LibertyTownship/Pages/default.aspx,"39 Topper Road , Fairfield, PA 17320",Local,Township,Adams,Liberty Twp,FAIRFIELD AREA S D
24.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=24,Littlestown Borough,Adams,Sandy Conrad,717-359-5101,secretary@littlestownboro.org,,http://www.littlestownboro.org,"41 South Columbus Avenue , Littlestown, PA 17340",Local,Borough,Adams,Littlestown Boro,LITTLESTOWN AREA S D
25.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=25,Mcsherrystown Borough,Adams,Anna Lescalleet,717-637-1838,alescalleet@mcsherrystownpd.org,,,"338 Main Street , McSherrystown, PA 17344",Local,Borough,Adams,Mcsherrystown Boro,CONEWAGO VALLEY S D
26.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=26,Menallen Township,Adams,Nancy S. Cline,717-677-6635,menallentwp@centurylink.net,,,"170 Memory Lane , Aspers, PA 17304",Local,Township,Adams,Menallen Twp,UPPER ADAMS S D
27.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=27,Mt Joy Township,Adams,Shannon M. Hare,717-359-4500,share@mtjoytwp.us,share@mtjoytwp.us,,"902 Hoffman Home Rd , Gettysburg, PA 17325",Local,Second Class Township,Adams,Mt Joy Twp,GETTYSBURG AREA S D
28.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=28,Mt Pleasant Township,Adams,Diane L Groft,717-624-8049,mptsecretary@comcast.net,,,"1035 Beck Road , Gettysburg, PA 17325",Local,Township,Adams,Mt Pleasant Twp,CONEWAGO VALLEY S D
29.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=29,New Oxford Borough,Adams,Tania K Kepner,717-624-2188,boroofnewoxford@comcast.net,,,"124 North Peters Street , New Oxford, PA 17350",Local,Borough,Adams,New Oxford Boro,CONEWAGO VALLEY S D
30.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=30,Oxford Township,Adams,Beverly Frey,717-624-4544,bfrey@oxfordtwp.com,,https://oxfordtwp.com/,"780 Hanover Street , New Oxford, PA 17350",Local,Township,Adams,Oxford Twp,Conewago Valley School District
31.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=31,Reading Township,Adams,Kimberly Beard,717-624-4222,readingtownship@comcast.net,,http://www.adamscounty.us/Munic/ReadingTownship,"50 Church Road , East Berlin, PA 17316",Local,Township,Adams,Reading Twp,BERMUDIAN SPRINGS S D
32.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=32,Reading Township Municipal Authority,Adams,Shirley Heage,717-624-4756,,,,"550 Carlisle Pike , New Oxford, PA 17350",Local,Authority,Adams,Hamilton Twp,Conewago Valley School District
33.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=33,Lake Meade Municipal Authority,Adams,Maureen Coleman,717-259-9998,,,,"59 Curtis Drive , East Berlin, PA 17316",Local,Authority,Adams,Hamilton Twp,Bermudian Springs School District
34.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=34,Straban Township,Adams,Robin K. Crushong,717-334-4833,office@strabantownship.com,,http://www.strabantownship.com,"1745 Granite Station Road , Gettysburg, PA 17325",Local,Township,Adams,Straban Twp,GETTYSBURG SD
35.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=35,Tyrone Township,Adams,Dawn Felts,717-528-4012,tyrone.township@comcast.net,,http://www.adams.us/tyronetwp,"5280 Old Harrisburg Road , York Springs, PA 17372",Local,Township,Adams,Tyrone Twp,Conewago Valley School District
36.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=36,Union Township,Adams,Carol J. Bollinger,717-359-7811,uniontownship@pa.net,,,"255 Pine Grove Road , Hanover, PA 17331",Local,Township,Adams,Union Twp,LITTLESTOWN AREA S D
37.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=37,York Springs Borough,Adams,Catherine Jonet,717-528-4032,boroughofyorksprings@comcast.net,,,"311 Main Street , York Springs, PA 17372",Local,Borough,Adams,York Springs Boro,BERMUDIAN SPRINGS S D
38.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=38,Aleppo Township,Allegheny,Gwen Patterson,412-741-6555,aleppomgr@aleppotownship.com,,http://www.aleppotownship.com,"100 North Drive , Sewickley, PA 15143",Local,Township,Allegheny,Aleppo Twp,QUAKER VALLEY S D
39.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=39,Allegheny County,Allegheny,Jessica Garofolo,412-350-6109,OpenRecords@alleghenycounty.us,,http://www.alleghenycounty.us/open-records/index.aspx,"436 Grant Street , Room 202 Courthouse , Pittsburgh, PA 15219",Local,County,Allegheny,Pittsburgh City,Pittsburgh School District
40.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=40,Allegheny County Council,Allegheny,Jared Baker,412-350-6523,jared.barker@alleghenycounty.us,,,"436 Grant Street, Room 119 Courthouse , Pittsburgh, PA 15219",Local,,Allegheny,Pittsburgh City,Pittsburgh School District
41.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=41,Allegheny County Airport Authority,Allegheny,Patricia Sparks-Epley,412-472-3576,RTK@flypittsburgh.com,,http://www.flypittsburgh.com,"Pittsburgh International Airport, Landside Terminal, 4th Floor Mezzanine , PO Box 12370 , Pittsburgh, PA 15231",Local,Authority,Allegheny,Pittsburgh City,Pittsburgh School District
42.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=42,Allegheny County Controller's Office,Allegheny,Ryan Herbinko,412-350-4652,Ryan.Herbinko@AlleghenyCounty.us,,,"436 Grant Street, County Courthouse , Pittsburgh, PA 15219",Local,,Allegheny,Pittsburgh City,Pittsburgh School District
43.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=43,Allegheny County Authorities,Allegheny,Shannon R. Pope,412-350-1019,shannon.pope@alleghenycounty.us,,,"425 Sixth Avenue, Suite 800 , Pittsburgh, PA 15219",Local,,Allegheny,Pittsburgh City,Pittsburgh School District
44.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=44,Allegheny County Retirement Board,Allegheny,Cheryl A. Bateman,412-350-5792,cheryl.bateman@alleghenycounty.us,,,"Room 106, County Office Building, 542 Forbes Avenue , Pittsburgh, PA 15219",Local,,Allegheny,Pittsburgh City,Pittsburgh School District
45.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=45,Allegheny Valley Joint Sewage Authority,Allegheny,Richard C. Chiavetta,412-828-7227,avjsa@aol.com,,,"PO Box 158 , Cheswick, PA 15024",Local,,Allegheny,,
46.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=46,Aspinwall Borough,Allegheny,April L. Winklemann,412-781-0213,Awinklemann@boroughofaspinwall.com,,,"217 Commercial Avenue , Aspinwall, PA 15215",Local,Borough,Allegheny,Aspinwall Boro,FOX CHAPEL AREA S D
47.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=47,Avalon Borough,Allegheny,Lorraine Makatura,412-761-5820,lmakatura@boroughofavalon.org,,http://boroughofavalon.org,"640 California Avenue , Pittsburgh, PA 15202",Local,Borough,Allegheny,Avalon Boro,NORTHGATE S D
48.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=48,Baldwin Borough,Allegheny,Robert T. Firek,412-882-9600,rfirek@baldwinborough.org,,http://www.baldwinborough.org,"3344 Churchview Avenue , Pittsburgh, PA 15227",Local,Borough,Allegheny,Baldwin Boro,BALDWIN-WHITEHALL S D
49.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=49,Baldwin Township,Allegheny,Nina Belcastro,412-341-9597,nina.belcastro@baldwintownship.com,,http://www.baldwintownship.com/,"10 Community Park Drive , Pittsburgh, PA 15234",Local,First Class Township,Allegheny,Baldwin Twp,BALDWIN-WHITEHALL S D
50.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=50,Bell Acres Borough,Allegheny,Lisa Fleming,412-741-5448,lisafleming@bellacres.org,,http://www.bellacresborough.org,"1153 Camp Meeting Road , Sewickley, PA 15143",Local,Borough,Allegheny,Bell Acres Boro,QUAKER VALLEY S D
51.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=51,Bellevue Borough,Allegheny,Cindy Bahn,412-766-6164,,,http://www.bellevuepa.org,"537 Bayne Avenue , Pittsburgh, PA 15202",Local,Borough,Allegheny,Bellevue Boro,Northgate School District
52.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=52,Ben Avon Borough,Allegheny,Theresa Patsch,412-766-7704,benavon@benavon.com,,http://BenAvon.com,"7101 Church Avenue , Pittsburgh, PA 15202",Local,Borough,Allegheny,Ben Avon Boro,AVONWORTH S D
53.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=53,Ben Avon Heights Borough,Allegheny,Jessica DiNuzzo,412-766-1561,benavonheightsborough6@gmail.com,,,"12 Lynton Lane , Pittsburgh, PA 15202",Local,Borough,Allegheny,Ben Avon Heights Boro,AVONWORTH S D
54.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=54,Municipality of Bethel Park,Allegheny,Adam Steele,412-831-6800,asteele@bethelpark.net,,https://bethelpark.net,"Bethel Park Municipal Building , 5100 West Library Avenue , Bethel Park, PA 15102",Local,Borough,Allegheny,Municipality,Bethel Park School District
55.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=55,Blawnox Borough,Allegheny,Kathy Ulanowicz,412-828-4141,blxoffice@blawnox.net,,http://www.blawnox.com/,"376 Freeport Road , Pittsburgh, PA 15238",Local,Borough,Allegheny,Blawnox Boro,FOX CHAPEL AREA S D
56.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=56,Brackenridge Borough,Allegheny,Denise Tocco,724-224-0800,,,,"1000 Brackenridge Avenue , Brackenridge, PA 15014",Local,Borough,Allegheny,Brackenridge Boro,HIGHLANDS S D
57.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=57,Brackenridge Police Department,Allegheny,Chief J. Bock,724-224-0800,brackpd50@yahoo.com,,,"1000 Brackenridge Avenue , Brackenridge, PA 15014",Local,Police Department,Allegheny,Brackenridge Boro,Highlands School District
58.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=58,Braddock Borough,Allegheny,Deborah Brown,412-271-1018,braddockmanager@comcast.net,,,"415 Sixth Street , Braddock, PA 15104",Local,Borough,Allegheny,Braddock Boro,WOODLAND HILLS S D
59.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=59,Braddock Hills Borough,Allegheny,Cheryl Sorrentino,412-241-5080,bradhillsboro@comcast.net,,,"1300 Brinton Road , Pittsburgh, PA 15221",Local,Borough,Allegheny,Braddock Hills Boro,WOODLAND HILLS S D
60.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=60,Brentwood Borough,Allegheny,"George Zboyovsky, PE",412-884-1500,gzboyovsky@brentwoodboro.com,,http://www.brentwoodboro.com,"3624 Brownsville Road , Pittsburgh, PA 15227",Local,Borough,Allegheny,Brentwood Borough,BRENTWOOD BORO S D
61.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=61,Bridgeville Borough,Allegheny,LORI COLLINS,(412) 221-6012 X 11,lcollins@bridgevilleboro.com,,http://www.bridgevilleboro.com,"425 Bower Hill Road , Bridgeville, PA 15017",Local,Borough,Allegheny,Bridgeville Boro,CHARTIERS VALLEY S D
62.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=62,Bridgeville Borough Police Department,Allegheny,"Chad King, Chief of Police",412-221-6052,cking@bridgevillepd.com,,,"425 Bower Hill Road , Bridgeville, PA 15017",Local,,Allegheny,,
63.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=63,Carnegie Borough,Allegheny,Stephen Beuter,412-276-1414,sbeuter.carnegieboro@comcast.net,,http://WWW.CARNEGIEBOROUGH.COM,"1 Veterans Way , Carnegie, PA 15106",Local,Borough,Allegheny,Carnegie Boro,CARLYNTON S D
64.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=64,Castle Shannon Borough,Allegheny,Katie Stringent,412-885-9200,kstringent@csboro.org,,,"3310 McRoberts Road , Castle Shannon, PA 15234",Local,Borough,Allegheny,Castle Shannon Boro,Bethel Park School District
65.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=65,Chalfant Borough,Allegheny,Stephanie Schwoegl,412-823-6500,chalfantborough@gmail.com,,http://chalfantborough-pa.org,"144 Lynnwood Avenue , East Pittsburgh, PA 15112",Local,Borough,Allegheny,Chalfant Boro,WOODLAND HILLS S D
66.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=66,Cheswick Borough,Allegheny,Andrew R. Bock,724-274-5125,abock.cheswick@yahoo.com,,,"220 South Atlantic Avenue , P.O. Box 235 , Cheswick, PA 15024",Local,Borough,Allegheny,Cheswick Boro,ALLEGHENY VALLEY S D
67.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=67,Churchill Borough,Allegheny,Alexander J. Graziani,412-241-7113,office@churchillborough.com,,http://www.churchillborough.com,"2300 William Penn Highway , Pittsburgh, PA 15235",Local,Borough,Allegheny,Churchill Boro,WOODLAND HILLS S D
68.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=68,Collier Township,Allegheny,Valerie Salla,412-279-2525,vsalla@colliertwp.net,,http://colliertownship.net,"2418 Hilltop Road , Presto, PA 15142",Local,Township,Allegheny,Collier Twp,CHARTIERS VALLEY S D
69.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=69,Coraopolis Borough,Allegheny,Raymond McCutcheon,412-264-3002,manager@coraopolispa.com,,http://coraopolispa.com/,"1301 4th Avenue , Coraopolis, PA 15108",Local,Borough,Allegheny,Coraopolis Boro,CORNELL S D
70.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=70,Crafton Borough,Allegheny,Rachel J. Susko,412-921-0752,rsusko@craftonborough.com,,http://www.craftonborough.com,"100 Stotz Avenue , Pittsburgh, PA 15102",Local,Borough,Allegheny,Crafton Boro,CARLYNTON S D
71.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=71,Crescent Township,Allegheny,Janice C Adamski,724-457-8100,info@crescenttownship.com,,http://www.crescenttownship.com,"225 Spring Run Rd , Crescent, PA 15046",Local,Township,Allegheny,Crescent Twp,Moon Area School District
72.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=72,Dormont Borough,Allegheny,Krista M Watt,412-561-8900,kwatt@boro.dormont.pa.us,,http://www.boro.dormont.pa.us,"1444 Hillsdale Avenue , Dormont, PA 15216",Local,Borough,Allegheny,Dormont Boro,Keystone Oaks School District
73.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=73,Dravosburg Borough,Allegheny,Borough Secretary,412-466-5200,dravoadmin@comcast.net,,http://DRAVOSBURG.ORG,"226 Maple Avenue , Dravosburg, PA 15034",Local,Borough,Allegheny,Dravosburg Boro,MCKEESPORT AREA S D
74.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=74,Duquesne City,Allegheny,,412-469-0544,,,http://duquesnepa.us,"12 South Second Street , Duquesne, PA 15110",Local,City,Allegheny,Duquesne City,DUQUESNE CITY S D
75.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=75,East Deer Township,Allegheny,John Nwranski,724-224-3434,eastdeermanager@outlook.com,,http://www.eastdeertownship.org,"927 Freeport Road , Creighton, PA 15030",Local,Township,Allegheny,East Deer Twp,DEER LAKES S D
76.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=76,East Mckeesport Borough,Allegheny,Connie Rosenbayger,412-824-2531,administrator@eastmckeesportboro.com,,http://www.eastmckeesportboro.com,"907 Florence Avenue , East Mckeesport, PA 15035",Local,Borough,Allegheny,East Mckeesport Boro,EAST ALLEGHENY S D
77.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=77,East Pittsburgh Borough,Allegheny,Seth Abrams,412-823-7124,epabrams@eastpittsburghboro.com,,http://www.eastpittsburghboro.com,"813 Linden Avenue , East Pittsburgh, PA 15112",Local,Borough,Allegheny,East Pittsburgh Boro,Pittsburgh School District
78.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=78,Edgewood Borough,Allegheny,Julie Bastianini,412-242-4824,manager@edgewoodboro.com,,http://www.edgewoodboro.com,"2 Race Street , Pittsburgh, PA 15218",Local,Borough,Allegheny,Edgewood Boro,WOODLAND HILLS S D
79.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=79,Edgeworth Borough,Allegheny,John F. Schwend,412-741-2866,john.schwend@edgeworthborough.org,,http://www.edgeworthborough.org,"301 Beaver Road , Edgeworth, PA 15143",Local,Borough,Allegheny,Edgeworth Boro,QUAKER VALLEY S D
80.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=80,Elizabeth Borough,Allegheny,Pamela Sharp,412-384-7771,boroughofelizabeth@comcast.net,,http://elizabethpa.net,"121 N 2nd Avenue , Elizabeth, PA 15037",Local,Borough,Allegheny,Elizabeth Boro,ELIZABETH FORWARD S D
81.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=81,Elizabeth Township,Allegheny,Greg Butler,412-751-2880,gbutler@elizabethtwppa.com,,http://www.elizabethtwppa.com,"522 Rock Run Road , Elizabeth, PA 15037",Local,Township,Allegheny,Elizabeth Twp,ELIZABETH FORWARD S D
82.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=82,Emsworth Borough,Allegheny,Cathy Jones,412-761-1161,emsworthborough@comcast.net,,http://emsworthborough.com,"171 Center Avenue , Pittsburgh, PA 15202",Local,Borough,Allegheny,Emsworth Boro,AVONWORTH S D
83.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=83,Etna Borough,Allegheny,Mary Ellen Ramage,412-781-0569,meramage@etnaborough.org,,http://www.etnaborough.org,"437 Butler Street , Pittsburgh, PA 15223",Local,Borough,Allegheny,Etna Boro,SHALER AREA S D
84.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=84,Fawn Township,Allegheny,Pamela J. Ponsart,724-226-0666,fawntwp@comcast.net,,http://www.fawntownship.com,"3054 Howes Run Road , Tarentum, PA 15084",Local,Township,Allegheny,Fawn Twp,HIGHLANDS S D
85.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=85,Findlay Township,Allegheny,Thomas Garrett,724-695-0500,tgarrett@findlaytwp.org,tgarrett@findlaytwp.org,http://www.findlay.pa.us,"PO Box W , Clinton, PA 15026",Local,Township,Allegheny,Findlay Twp,WEST ALLEGHENY S D
86.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=86,Forest Hills Borough,Allegheny,Steven J. Morus,412-351-7330,admin@foresthillspa.com,,http://www.foresthillspa.org,"4400 Greensburg Pike , Pittsburgh, PA 15221",Local,Borough,Allegheny,Forest Hills Boro,WOODLAND HILLS S D
87.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=87,Forward Township,Allegheny,,412-384-1761,fwdtwp1@comcast.net,,,"1000 Golden Circle , Elizabeth, PA 15037",Local,Township,Allegheny,Forward Twp,ELIZABETH FORWARD S D
88.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=88,Fox Chapel Borough,Allegheny,Shawn Marie Peterson,412-963-1100,speterson@fox-chapel.pa.us,,http://www.fox-chapel.pa.us,"401 Fox Chapel Road , Pittsburgh, PA 15238",Local,Borough,Allegheny,Fox Chapel Boro,FOX CHAPEL AREA S D
89.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=89,Franklin Park Borough,Allegheny,"Regis J. Ebner, Jr.",412-364-4115,rebner@franklinparkborough.us,,http://www.franklinparkborough.us,"2344 West Ingomar Road , Pittsburgh, PA 15237",Local,Borough,Allegheny,Franklin Park Boro,NORTH ALLEGHENY S D
90.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=90,Frazer Township,Allegheny,Lori K. Ziencik,724-274-4202,frazertwp@comcast.net,,http://www.frazertownship.net,"592 Pittsburgh Mill Circle , Tarentum, PA 15084",Local,Township,Allegheny,Frazer Twp,DEER LAKES S D
91.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=91,Glassport Borough,Allegheny,Elaina Skiba,412-672-7400,eskiba@glassportborough.net,office@glassportborough.net,http://glassport.webs.com,"440 Monongahela Avenue , Glassport, PA 15045",Local,Borough,Allegheny,Glassport Boro,South Allegheny School District
